bill_id,bill_type,submit_diet_no,bill_no,bill_subject,status,submit_person,submit_parties,representatives_accept_date,representatives_finish_date,representatives_deliveration_result,councilors_accept_date,councilors_finish_date,councilors_deliveration_result,promulgation_date,body_link
0,衆法,207,2,揮発油等の価格の高騰から国民生活及び国民経済を守るための東日本大震災の被災者等に係る国税関係法律の臨時特例に関する法律及び地方税法の一部を改正する等の法律案,衆議院で審議中,足立　康史君外二名,日本維新の会; 国民民主党・無所属クラブ,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705002.htm
1,衆法,207,3,現下の揮発油等の価格の高騰から国民生活及び国民経済を守るための揮発油税等に関する法律の臨時特例等に関する法律案,衆議院で審議中,末松　義規君外六名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705003.htm
2,衆法,207,9,自衛隊法及び海上保安庁法の一部を改正する法律案,衆議院で審議中,前原　誠司君外二名,日本維新の会; 国民民主党・無所属クラブ,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705009.htm
3,衆法,207,10,新型コロナウイルス感染症等の影響を受けた低所得者に対する特別給付金の支給に関する法律案,衆議院で審議中,中谷　一馬君外十三名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705010.htm
4,衆法,207,11,領域等の警備及び海上保安体制の強化に関する法律案,衆議院で審議中,篠原　豪君外十四名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705011.htm
5,衆法,208,3,新型コロナウイルス感染症等の影響を受けている中小事業者等に対する緊急の支援に関する法律案,衆議院で審議中,山岡　達丸君外九名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805003.htm
6,衆法,208,6,新型コロナウイルス感染症等の影響を受けている観光関連事業者に対する緊急の支援に関する法律案,衆議院で審議中,小宮山　泰子君外七名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805006.htm
7,衆法,208,17,日本放送協会改革推進法案,衆議院で審議中,中司　宏君外二名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805017.htm
8,衆法,208,18,特定土砂等の管理に関する法律案,衆議院で審議中,足立　康史君外二名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805018.htm
9,衆法,208,19,土砂等の置場の確保に関する法律案,衆議院で審議中,足立　康史君外二名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805019.htm
